district	Indicator 1 Definition	Indicator 2	province	Continuous 1	Geometry	Latitude (generated)	Longitude (generated)
Shindand	Number of persons excluding nomadic population (according to official estimates)		Hirat	185,683.0	Polygon	33.266401800	61.777242282
Shighnan	Number of persons excluding nomadic population (according to official estimates)		Badakhshan	28,908.0	Polygon	37.608850078	71.366023008
Shiberghan	Number of persons excluding nomadic population (according to official estimates)		Jawzjan	174,927.0	Polygon	36.626436374	65.778410437
Sherzad	Number of persons excluding nomadic population (according to official estimates)		Nangarhar	68,792.0	Polygon	34.181063512	69.928430683
Shenwari	Number of persons excluding nomadic population (according to official estimates)		Parwan	42,690.0	Polygon	35.135028328	68.973097601
Shenwar	Number of persons excluding nomadic population (according to official estimates)		Nangarhar	62,206.0	Polygon	34.205903552	70.816900789
Shenkay	Number of persons excluding nomadic population (according to official estimates)		Zabul	24,394.0	Polygon	31.933383358	67.180963780
Shekhali	Number of persons excluding nomadic population (according to official estimates)		Parwan	25,614.0	Polygon	34.961070760	68.393193815
Shegal Wa Shiltan	Number of persons excluding nomadic population (according to official estimates)		Kunarha	30,371.0	Polygon	35.019947278	71.233755772
Shebkoh	Number of persons excluding nomadic population (according to official estimates)		Farah	24,272.0	Polygon	32.139109394	61.359456776
Shebar	Number of persons excluding nomadic population (according to official estimates)		Bamyan	30,615.0	Polygon	34.891351302	68.027678947
Shawak	Number of persons excluding nomadic population (according to official estimates)		Paktya	5,732.0	Polygon	33.476480639	69.331665879
Sharan	Number of persons excluding nomadic population (according to official estimates)		Pakteka	52,062.0	Polygon	33.212750462	68.747296167
Sharak-e-Hayratan	Number of persons excluding nomadic population (according to official estimates)		Balkh		Polygon	37.211588257	67.392091690
Shamal	Number of persons excluding nomadic population (according to official estimates)		Khost	14,149.0	Polygon	33.321152675	69.533903139
Shaki	Number of persons excluding nomadic population (according to official estimates)		Badakhshan	27,322.0	Polygon	38.216157400	70.697575853
Shakardara	Number of persons excluding nomadic population (according to official estimates)		Kabul	85,380.0	Polygon	34.668270248	69.062440208
Shahwalekot	Number of persons excluding nomadic population (according to official estimates)		Kandahar	45,007.0	Polygon	32.139936302	66.033262214
Shahristan	Number of persons excluding nomadic population (according to official estimates)		Daykundi		Polygon	33.694575254	66.480493568
Shahrak	Number of persons excluding nomadic population (according to official estimates)		Ghor	62,083.0	Polygon	34.225391758	64.289289174
Shahr-e-Buzorg	Number of persons excluding nomadic population (according to official estimates)		Badakhshan	54,278.0	Polygon	37.315953022	70.144747448
Shahjoy	Number of persons excluding nomadic population (according to official estimates)		Zabul	60,620.0	Polygon	32.494160676	67.350653448
Shahed-e-Hassas	Number of persons excluding nomadic population (according to official estimates)		Uruzgan	61,230.0	Polygon	32.932212476	65.538665599
Sayghan	Number of persons excluding nomadic population (according to official estimates)		Bamyan	24,882.0	Polygon	35.124415657	67.624207420
Sayedkaram	Number of persons excluding nomadic population (according to official estimates)		Paktya	57,814.0	Polygon	33.731336318	69.469893170
Saydkhel	Number of persons excluding nomadic population (according to official estimates)		Parwan	47,325.0	Polygon	35.047240067	69.282208083
Saydabad	Number of persons excluding nomadic population (according to official estimates)		Maydanwardag	120,508.0	Polygon	33.934722606	68.676362707
Sayad	Number of persons excluding nomadic population (according to official estimates)		Sar-e-Pul	56,595.0	Polygon	36.072841767	65.643409350
Sarrawzah(Sarhawzah)	Number of persons excluding nomadic population (according to official estimates)		Pakteka	24,028.0	Polygon	33.065402373	69.044573089
Sarobi	Number of persons excluding nomadic population (according to official estimates)		Pakteka	12,929.0	Polygon	32.785070458	69.124284807
Sarobi	Number of persons excluding nomadic population (according to official estimates)		Kabul	57,570.0	Polygon	34.519741984	69.718181244
Sarkani	Number of persons excluding nomadic population (according to official estimates)		Kunarha	28,298.0	Polygon	34.705403106	71.086416155
Sar-e-Pul	Number of persons excluding nomadic population (according to official estimates)		Sar-e-Pul	161,735.0	Polygon	36.290563550	66.014189626
Sangen	Number of persons excluding nomadic population (according to official estimates)		Hilmand	62,084.0	Polygon	32.030163812	64.989244420
Sang-e-Takht	Number of persons excluding nomadic population (according to official estimates)		Daykundi	52,569.0	Polygon	34.178306196	65.860739652
Sancharak	Number of persons excluding nomadic population (according to official estimates)		Sar-e-Pul	105,306.0	Polygon	35.961748856	66.369243529
Salang	Number of persons excluding nomadic population (according to official estimates)		Parwan	26,955.0	Polygon	35.293997627	69.163208071
Saghar	Number of persons excluding nomadic population (according to official estimates)		Ghor	35,982.0	Polygon	33.663898766	63.743685840
