event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
AFG68114,"12 July 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Afghanistan)","Shiite Muslim Group (Afghanistan)",Protesters,,,,"Protesters only",,4,"Caucasus and Central Asia",Afghanistan,Herat,Herat,,Jibrail,34.3746,62.1272,1,"Etilaat e Roz; Hasht-e Subh",National,"On 12 July 2024, over a thousand Shia residents of Haji Abbas of Jibrail area in Herat province protested against the Taliban's lowering and tearing down of Muharram mourning flags. The Taliban prevented the protest from spreading further with the cooperation of local elders. No reports of intervention or violence.",0,"crowd size=over a thousand",1721769334
AFG68126,"12 July 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Pakistan (2022-)",,"External/Other forces","TTP: Tehreek-i-Taliban Pakistan",,"Rebel group","Rebel group-External/Other forces",,4,"Caucasus and Central Asia",Afghanistan,Khost,Tirzayee,,"Babrak Tana",33.4618,70.2172,1,"Hasht-e Subh",National,"On 12 July 2024, 5 TTP members were killed by Pakistan military forces airstrikes in Babrak Tana area of Tirzayee (Alisher) district, Khost.",5,,1721769334
AFG68130,"12 July 2024",2024,1,"Political violence","Violence against civilians",Attack,"Police Forces of Afghanistan (2021-)",,"State forces","Civilians (Afghanistan)",,Civilians,"State forces-Civilians","Civilian targeting",4,"Caucasus and Central Asia",Afghanistan,Kunduz,Kunduz,,Kunduz,36.729,68.857,1,"Etilaat e Roz; Hasht-e Subh",National,"On 12 July 2024, Taliban police forces shot dead a young man after a verbal dispute at a checkpoint in Kunduz city, while he was returning home with his friends. No further information.",1,,1721769334
AFG68089,"12 July 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Afghanistan)",,Protesters,,,,"Protesters only",,4,"Caucasus and Central Asia",Afghanistan,Kabul,Kabul,,Kabul,34.5167,69.1833,1,"Hasht-e Subh; Zawia News",Subnational-National,"On 12 July 2024, hundreds of young people protested and chanted anti-Pakistan slogans in front of the Eidgah Mosque in Kabul city, after Taliban prevented them to perform funeral prayers for Gileman Wazir, a member of the Pashtun Preservation Movement who was killed days ago in Islamabad.",0,"crowd size=hundreds",1722291485
AFG68134,"12 July 2024",2024,1,"Political violence",Battles,"Armed clash","National Resistance Front",,"Rebel group","Military Forces of Afghanistan (2021-)",,"State forces","State forces-Rebel group",,4,"Caucasus and Central Asia",Afghanistan,Parwan,"Sayyid Khel",,"Sayyid Khel",35.0468,69.2621,2,"Hasht-e Subh; National Resistance Front of Afghanistan",Other-National,"On 12 July 2024, 1 Taliban member was killed and 2 others were wounded following an attack by National Resistance Front militants targeting a Taliban patrol vehicle in the Chinki area of Sayyid Khel district, Parwan.",1,,1737435503
AFG69228,"12 July 2024",2024,1,"Political violence","Violence against civilians",Attack,"Military Forces of Afghanistan (2021-)",,"State forces","Civilians (Afghanistan)",,Civilians,"State forces-Civilians","Civilian targeting",4,"Caucasus and Central Asia",Afghanistan,Faryab,"Shirin Tagab",,"Shirin Tagab",36.2553,64.8138,2,"Undisclosed Source","Local partner-Other","On 12 July 2024, Taliban raided the home of a former Afghan forces commander in Shirin Tagab district, Faryab. His wife and children were beaten and forcibly evicted.",0,,1738102144
AFG68154,"12 July 2024",2024,1,"Political violence","Violence against civilians","Abduction/forced disappearance","Police Forces of Afghanistan (2021-) General Directorate of Intelligence",,"State forces","Civilians (Afghanistan)","Journalists (Afghanistan)",Civilians,"State forces-Civilians","Civilian targeting",4,"Caucasus and Central Asia",Afghanistan,Kandahar,Kandahar,,Kandahar,31.6133,65.7101,1,"Etilaat e Roz; Hasht-e Subh; RFE/RL",National-International,"On 12 July 2024, one journalist was arrested by Taliban intelligence forces in Kandahar city. His whereabouts remained unknown. The Taliban claimed his arrest was not related to his journalistic activities. He was later released on 5 August 2024.",0,,1739304990
AFG68085,"11 July 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Afghanistan)","Shiite Muslim Group (Afghanistan)",Protesters,,,,"Protesters only",,4,"Caucasus and Central Asia",Afghanistan,Herat,Herat,,Herat,34.3482,62.1997,1,"Hasht-e Subh; Khaama Press",National,"On 11 July 2024, groups of Shia people held midnight protests in PD12, PD9, and PD13 of Herat city, against a recent statement made by Taliban's Director of Information and Culture who called Ashura (a significant religious day for Shia Muslims) a 'bid'ah' (an innovation in religious practices of Islam often viewed negatively).",0,"crowd size=no report",1721157094
AFG68097,"11 July 2024",2024,1,"Political violence",Battles,"Armed clash","National Resistance Front",,"Rebel group","Military Forces of Afghanistan (2021-)",,"State forces","State forces-Rebel group",,4,"Caucasus and Central Asia",Afghanistan,Nuristan,Duab,,Duab,35.148,70.302,1,"Etilaat e Roz; National Resistance Front of Afghanistan",Other-National,"On 11 July 2024, 1 Taliban member was killed, 2 others were wounded, and a Taliban vehicle was destroyed during a clash with National Resistance Front militants in the center of Duab district, Nuristan. NRF confirmed that their fighters had no casualties.",1,,1721157094
AFG68100,"11 July 2024",2024,1,"Strategic developments","Strategic developments",Other,"Military Forces of Afghanistan (2021-)",,"State forces","Military Forces of Afghanistan (2021-)","Tajik Ethnic Group (Afghanistan)","State forces","State forces-State forces",,4,"Caucasus and Central Asia",Afghanistan,Takhar,Chahab,,Chahab,37.3977,69.8146,2,"Etilaat e Roz; Hasht-e Subh",National,"Other: On 11 July 2024, Taliban forces disarmed 150 people of a local Tajik-Taliban commander during a house-to-house inspection in Chahab district, Takhar. This Tajik commander was detained two days ago for opposing local authorities in Takhar (coded separately).",0,,1721157094
AFG68101,"11 July 2024",2024,1,"Political violence",Battles,"Armed clash","National Resistance Front",,"Rebel group","Military Forces of Afghanistan (2021-)",,"State forces","State forces-Rebel group",,4,"Caucasus and Central Asia",Afghanistan,Takhar,Rustaq,,Rustaq,37.126,69.8305,2,"Hasht-e Subh; National Resistance Front of Afghanistan",Other-National,"On 11 July 2024, one Taliban member was killed and three others were wounded following an attack by National Resistance Front militants at the entrance checkpoint of the security command of Rustaq district, Takhar.",1,,1721157094
AFG68113,"11 July 2024",2024,1,"Political violence","Violence against civilians",Attack,"Military Forces of Afghanistan (2021-)",,"State forces","Civilians (Afghanistan)","Former Military Forces of Afghanistan (2021-); Shiite Muslim Group (Afghanistan)",Civilians,"State forces-Civilians","Civilian targeting",4,"Caucasus and Central Asia",Afghanistan,Herat,Herat,,Jibrail,34.3746,62.1272,1,"Etilaat e Roz",National,"On 11 July 2024, the Taliban killed a former military member in the Jibrail area of Herat province. Sources conflicted as some claimed he was shot after a clash with the Taliban over a torn Muharram flag, while others said he was shot while opposing Taliban restrictions on the Muharram ceremony at a checkpoint. According to a local resident, he attacked a Taliban outpost and was killed in the ensuing gunfire. The Taliban claimed he committed suicide due to mental health issues.",1,,1721769334
